average_speed,datetime,name,hourly_volume,volume
17.0,2025-11-01 23:15:00,n_s_01_1,64,5
28.0,2025-11-01 23:15:00,n_s_01_0,23,2
40.0,2025-11-01 23:10:00,e_w_01_0,17,1
33.0,2025-11-01 23:10:00,e_w_01_1,21,2
90.0,2025-11-01 23:10:00,e_w_01_2,1,0
0.0,2025-11-01 23:10:00,e_n_0,0,0
34.0,2025-11-01 23:10:00,w_e_01_2,20,2
0.0,2025-11-01 23:10:00,e_n_1,1,0
25.0,2025-11-01 23:10:00,w_s_0,3,0
14.0,2025-11-01 23:10:00,w_e_01_0,23,2
21.0,2025-11-01 23:10:00,w_e_01_1,26,2
30.0,2025-11-01 23:10:00,n_s_01_1,80,7
23.0,2025-11-01 23:10:00,n_s_01_0,19,2
39.0,2025-11-01 23:05:00,e_w_01_0,16,1
26.0,2025-11-01 23:05:00,e_w_01_1,23,2
60.0,2025-11-01 23:05:00,e_w_01_2,4,0
0.0,2025-11-01 23:05:00,e_n_0,0,0
51.0,2025-11-01 23:05:00,w_e_01_2,8,1
1.0,2025-11-01 23:05:00,e_n_1,3,0
27.0,2025-11-01 23:05:00,w_s_0,3,0
17.0,2025-11-01 23:05:00,w_e_01_0,17,1
25.0,2025-11-01 23:05:00,w_e_01_1,19,2
26.0,2025-11-01 23:05:00,n_s_01_1,38,3
26.0,2025-11-01 23:05:00,n_s_01_0,29,2
37.0,2025-11-01 23:00:00,e_w_01_0,24,2
30.0,2025-11-01 23:00:00,e_w_01_1,29,2
54.0,2025-11-01 23:00:00,e_w_01_2,6,0
0.0,2025-11-01 23:00:00,e_n_0,0,0
45.0,2025-11-01 23:00:00,w_e_01_2,14,1
1.0,2025-11-01 23:00:00,e_n_1,5,0
32.0,2025-11-01 23:00:00,w_s_0,11,1
7.0,2025-11-01 23:00:00,w_e_01_0,20,2
22.0,2025-11-01 23:00:00,w_e_01_1,30,2
25.0,2025-11-01 23:00:00,n_s_01_1,56,5
26.0,2025-11-01 23:00:00,n_s_01_0,19,2
39.0,2025-11-01 22:55:00,e_w_01_0,21,2
44.0,2025-11-01 22:55:00,e_w_01_1,21,2
90.0,2025-11-01 22:55:00,e_w_01_2,2,0
0.0,2025-11-01 22:55:00,e_n_0,0,0
52.0,2025-11-01 22:55:00,w_e_01_2,11,1
1.0,2025-11-01 22:55:00,e_n_1,3,0
21.0,2025-11-01 22:55:00,w_s_0,4,0
8.0,2025-11-01 22:55:00,w_e_01_0,16,1
16.0,2025-11-01 22:55:00,w_e_01_1,25,2
21.0,2025-11-01 22:55:00,n_s_01_1,64,5
25.0,2025-11-01 22:55:00,n_s_01_0,29,2
36.0,2025-11-01 22:50:00,e_w_01_0,21,2
38.0,2025-11-01 22:50:00,e_w_01_1,26,2
60.0,2025-11-01 22:50:00,e_w_01_2,8,1
0.0,2025-11-01 22:50:00,e_n_0,0,0
47.0,2025-11-01 22:50:00,w_e_01_2,11,1
1.0,2025-11-01 22:50:00,e_n_1,3,0
28.0,2025-11-01 22:50:00,w_s_0,10,1
12.0,2025-11-01 22:50:00,w_e_01_0,31,3
25.0,2025-11-01 22:50:00,w_e_01_1,25,2
21.0,2025-11-01 22:50:00,n_s_01_1,62,5
23.0,2025-11-01 22:50:00,n_s_01_0,21,2
38.0,2025-11-01 22:45:00,e_w_01_0,37,3
38.0,2025-11-01 22:45:00,e_w_01_1,32,3
34.0,2025-11-01 22:45:00,e_w_01_2,6,0
0.0,2025-11-01 22:45:00,e_n_0,0,0
43.0,2025-11-01 22:45:00,w_e_01_2,19,2
1.0,2025-11-01 22:45:00,e_n_1,2,0
23.0,2025-11-01 22:45:00,w_s_0,8,1
18.0,2025-11-01 22:45:00,w_e_01_0,35,3
21.0,2025-11-01 22:45:00,w_e_01_1,28,2
28.0,2025-11-01 22:45:00,n_s_01_1,81,7
24.0,2025-11-01 22:45:00,n_s_01_0,24,2
36.0,2025-11-01 22:40:00,e_w_01_0,31,3
32.0,2025-11-01 22:40:00,e_w_01_1,35,3
38.0,2025-11-01 22:40:00,e_w_01_2,8,1
0.0,2025-11-01 22:40:00,e_n_0,0,0
36.0,2025-11-01 22:40:00,w_e_01_2,16,1
1.0,2025-11-01 22:40:00,e_n_1,2,0
42.0,2025-11-01 22:40:00,w_s_0,7,1
11.0,2025-11-01 22:40:00,w_e_01_0,24,2
25.0,2025-11-01 22:40:00,w_e_01_1,19,2
20.0,2025-11-01 22:40:00,n_s_01_1,37,3
24.0,2025-11-01 22:40:00,n_s_01_0,24,2
30.0,2025-11-01 22:35:00,e_w_01_0,25,2
33.0,2025-11-01 22:35:00,e_w_01_1,30,2
41.0,2025-11-01 22:35:00,e_w_01_2,5,0
0.0,2025-11-01 22:35:00,e_n_0,0,0
43.0,2025-11-01 22:35:00,w_e_01_2,14,1
1.0,2025-11-01 22:35:00,e_n_1,4,0
10.0,2025-11-01 22:35:00,w_s_0,2,0
16.0,2025-11-01 22:35:00,w_e_01_0,21,2
23.0,2025-11-01 22:35:00,w_e_01_1,25,2
23.0,2025-11-01 22:35:00,n_s_01_0,24,2
27.0,2025-11-01 22:35:00,n_s_01_1,52,4
31.0,2025-11-01 22:30:00,e_w_01_0,28,2
40.0,2025-11-01 22:30:00,e_w_01_1,39,3
42.0,2025-11-01 22:30:00,e_w_01_2,6,0
0.0,2025-11-01 22:30:00,e_n_0,0,0
40.0,2025-11-01 22:30:00,w_e_01_2,13,1
1.0,2025-11-01 22:30:00,e_n_1,3,0
45.0,2025-11-01 22:30:00,w_s_0,4,0
12.0,2025-11-01 22:30:00,w_e_01_0,33,3
27.0,2025-11-01 22:30:00,w_e_01_1,34,3
25.0,2025-11-01 22:30:00,n_s_01_0,27,2
26.0,2025-11-01 22:30:00,n_s_01_1,45,4
37.0,2025-11-01 22:25:00,e_w_01_0,31,3
41.0,2025-11-01 22:25:00,e_w_01_1,28,2
48.0,2025-11-01 22:25:00,e_w_01_2,7,1
0.0,2025-11-01 22:25:00,e_n_0,0,0
49.0,2025-11-01 22:25:00,w_e_01_2,19,2
2.0,2025-11-01 22:25:00,e_n_1,3,0
28.0,2025-11-01 22:25:00,w_s_0,11,1
15.0,2025-11-01 22:25:00,w_e_01_0,24,2
32.0,2025-11-01 22:25:00,w_e_01_1,25,2
23.0,2025-11-01 22:25:00,n_s_01_0,28,2
23.0,2025-11-01 22:25:00,n_s_01_1,46,4
37.0,2025-11-01 22:20:00,e_w_01_0,38,3
38.0,2025-11-01 22:20:00,e_w_01_1,45,4
30.0,2025-11-01 22:20:00,e_w_01_2,4,0
0.0,2025-11-01 22:20:00,e_n_0,0,0
41.0,2025-11-01 22:20:00,w_e_01_2,17,1
1.0,2025-11-01 22:20:00,e_n_1,5,0
28.0,2025-11-01 22:20:00,w_s_0,5,0
20.0,2025-11-01 22:20:00,w_e_01_0,36,3
25.0,2025-11-01 22:20:00,w_e_01_1,37,3
27.0,2025-11-01 22:20:00,n_s_01_0,39,3
20.0,2025-11-01 22:20:00,n_s_01_1,46,4
33.0,2025-11-01 22:15:00,e_w_01_0,36,3
36.0,2025-11-01 22:15:00,e_w_01_1,39,3
32.0,2025-11-01 22:15:00,e_w_01_2,9,1
0.0,2025-11-01 22:15:00,e_n_0,0,0
37.0,2025-11-01 22:15:00,w_e_01_2,24,2
1.0,2025-11-01 22:15:00,e_n_1,2,0
17.0,2025-11-01 22:15:00,w_s_0,5,0
10.0,2025-11-01 22:15:00,w_e_01_0,27,2
23.0,2025-11-01 22:15:00,w_e_01_1,32,3
26.0,2025-11-01 22:15:00,n_s_01_0,36,3
11.0,2025-11-01 22:15:00,n_s_01_1,84,7
29.0,2025-11-01 22:10:00,e_w_01_0,27,2
36.0,2025-11-01 22:10:00,e_w_01_1,40,3
90.0,2025-11-01 22:10:00,e_w_01_2,2,0
0.0,2025-11-01 22:10:00,e_n_0,0,0
30.0,2025-11-01 22:10:00,w_e_01_2,21,2
1.0,2025-11-01 22:10:00,e_n_1,3,0
54.0,2025-11-01 22:10:00,w_s_0,3,0
12.0,2025-11-01 22:10:00,w_e_01_0,33,3
20.0,2025-11-01 22:10:00,w_e_01_1,36,3
25.0,2025-11-01 22:10:00,n_s_01_0,46,4
11.0,2025-11-01 22:10:00,n_s_01_1,52,4
34.0,2025-11-01 22:05:00,e_w_01_0,32,3
32.0,2025-11-01 22:05:00,e_w_01_1,32,3
45.0,2025-11-01 22:05:00,e_w_01_2,9,1
0.0,2025-11-01 22:05:00,e_n_0,0,0
44.0,2025-11-01 22:05:00,w_e_01_2,17,1
1.0,2025-11-01 22:05:00,e_n_1,3,0
39.0,2025-11-01 22:05:00,w_s_0,3,0
10.0,2025-11-01 22:05:00,w_e_01_0,27,2
24.0,2025-11-01 22:05:00,w_e_01_1,29,2
25.0,2025-11-01 22:05:00,n_s_01_0,36,3
24.0,2025-11-01 22:05:00,n_s_01_1,40,3
31.0,2025-11-01 22:00:00,e_w_01_0,39,3
36.0,2025-11-01 22:00:00,e_w_01_1,43,4
16.0,2025-11-01 22:00:00,e_w_01_2,8,1
0.0,2025-11-01 22:00:00,e_n_0,0,0
29.0,2025-11-01 22:00:00,w_e_01_2,13,1
1.0,2025-11-01 22:00:00,e_n_1,2,0
26.0,2025-11-01 22:00:00,w_s_0,6,0
9.0,2025-11-01 22:00:00,w_e_01_0,25,2
23.0,2025-11-01 22:00:00,w_e_01_1,36,3
24.0,2025-11-01 22:00:00,n_s_01_0,29,2
15.0,2025-11-01 22:00:00,n_s_01_1,40,3
41.0,2025-11-01 21:55:00,e_w_01_0,27,2
40.0,2025-11-01 21:55:00,e_w_01_1,33,3
23.0,2025-11-01 21:55:00,e_w_01_2,8,1
0.0,2025-11-01 21:55:00,e_n_0,0,0
25.0,2025-11-01 21:55:00,w_e_01_2,16,1
1.0,2025-11-01 21:55:00,e_n_1,3,0
36.0,2025-11-01 21:55:00,w_s_0,4,0
18.0,2025-11-01 21:55:00,w_e_01_0,25,2
30.0,2025-11-01 21:55:00,w_e_01_1,35,3
28.0,2025-11-01 21:55:00,n_s_01_0,27,2
27.0,2025-11-01 21:55:00,n_s_01_1,43,4
30.0,2025-11-01 21:50:00,e_w_01_0,40,3
32.0,2025-11-01 21:50:00,e_w_01_1,46,4
45.0,2025-11-01 21:50:00,e_w_01_2,6,0
0.0,2025-11-01 21:50:00,e_n_0,0,0
45.0,2025-11-01 21:50:00,w_e_01_2,15,1
1.0,2025-11-01 21:50:00,e_n_1,4,0
21.0,2025-11-01 21:50:00,w_s_0,10,1
12.0,2025-11-01 21:50:00,w_e_01_0,25,2
26.0,2025-11-01 21:50:00,w_e_01_1,28,2
26.0,2025-11-01 21:50:00,n_s_01_0,24,2
25.0,2025-11-01 21:50:00,n_s_01_1,45,4
35.0,2025-11-01 21:45:00,e_w_01_0,44,4
33.0,2025-11-01 21:45:00,e_w_01_1,49,4
36.0,2025-11-01 21:45:00,e_w_01_2,10,1
0.0,2025-11-01 21:45:00,e_n_0,0,0
33.0,2025-11-01 21:45:00,w_e_01_2,22,2
1.0,2025-11-01 21:45:00,e_n_1,3,0
12.0,2025-11-01 21:45:00,w_s_0,9,1
12.0,2025-11-01 21:45:00,w_e_01_0,30,2
18.0,2025-11-01 21:45:00,w_e_01_1,32,3
27.0,2025-11-01 21:45:00,n_s_01_0,26,2
24.0,2025-11-01 21:45:00,n_s_01_1,48,4
32.0,2025-11-01 21:40:00,e_w_01_0,33,3
38.0,2025-11-01 21:40:00,e_w_01_1,35,3
38.0,2025-11-01 21:40:00,e_w_01_2,5,0
0.0,2025-11-01 21:40:00,e_n_0,0,0
42.0,2025-11-01 21:40:00,w_e_01_2,20,2
1.0,2025-11-01 21:40:00,e_n_1,2,0
36.0,2025-11-01 21:40:00,w_s_0,10,1
20.0,2025-11-01 21:40:00,w_e_01_0,23,2
24.0,2025-11-01 21:40:00,w_e_01_1,33,3
21.0,2025-11-01 21:40:00,n_s_01_0,39,3
19.0,2025-11-01 21:40:00,n_s_01_1,39,3
25.0,2025-11-01 21:35:00,e_w_01_0,31,3
29.0,2025-11-01 21:35:00,e_w_01_1,46,4
42.0,2025-11-01 21:35:00,e_w_01_2,7,1
0.0,2025-11-01 21:35:00,e_n_0,0,0
27.0,2025-11-01 21:35:00,w_e_01_2,17,1
1.0,2025-11-01 21:35:00,e_n_1,4,0
31.0,2025-11-01 21:35:00,w_s_0,10,1
16.0,2025-11-01 21:35:00,w_e_01_0,36,3
23.0,2025-11-01 21:35:00,w_e_01_1,42,4
18.0,2025-11-01 21:35:00,n_s_01_0,52,4
28.0,2025-11-01 21:35:00,n_s_01_1,51,4
32.0,2025-11-01 21:30:00,e_w_01_0,48,4
30.0,2025-11-01 21:30:00,e_w_01_1,42,4
40.0,2025-11-01 21:30:00,e_w_01_2,11,1
0.0,2025-11-01 21:30:00,e_n_0,0,0
22.0,2025-11-01 21:30:00,w_e_01_2,55,5
0.0,2025-11-01 21:30:00,e_n_1,3,0
9.0,2025-11-01 21:30:00,w_s_0,9,1
10.0,2025-11-01 21:30:00,w_e_01_0,52,4
29.0,2025-11-01 21:30:00,w_e_01_1,63,5
22.0,2025-11-01 21:30:00,n_s_01_0,59,5
19.0,2025-11-01 21:30:00,n_s_01_1,66,6
33.0,2025-11-01 21:25:00,e_w_01_0,40,3
31.0,2025-11-01 21:25:00,e_w_01_1,34,3
53.0,2025-11-01 21:25:00,e_w_01_2,7,1
0.0,2025-11-01 21:25:00,e_n_0,0,0
30.0,2025-11-01 21:25:00,w_e_01_2,35,3
0.0,2025-11-01 21:25:00,e_n_1,3,0
30.0,2025-11-01 21:25:00,w_s_0,10,1
15.0,2025-11-01 21:25:00,w_e_01_0,42,4
27.0,2025-11-01 21:25:00,w_e_01_1,45,4
